branch|loan_number|loan_amount|
Durham|3.546555290600665E15|$154264.28|
Reston|5.10013606342865E15|$143683.43|
State College|3.549330539665359E15|$280284.02|
Cleveland|4.903202602943955E15|$284354.82|
Durham|5.10013788099776E15|$347167.79|
Reston|5.0187382916430889E18|$263856.28|
State College|3.79147242006742E14|$129405.70|
Fairfax|3.568585770424446E15|$218600.99|
Fairfax|3.54739799611292E15|$198297.86|
Tampa|3.37941061681531E14|$282964.94|
Stow|3.584973233054515E15|$440119.12|
Fairfax|3.534580429712714E15|$280317.40|
Reston|6.761707270730704E15|$353741.32|
Tampa|3.72301096023652E14|$129734.75|
Reston|6.709422233904212E18|$412119.54|
Cinicinnati|3.555844243079542E15|$274214.01|
Columbus|6.70978521880358E15|$395473.66|
Fairfax|5.610011425611595E15|$215696.53|
State College|3.553366506525005E15|$413338.20|
Reston|3.574445794148772E15|$233711.98|
Columbus|4.04159809554503E15|$434505.60|
Durham|4.405151290040264E15|$119258.46|
Stow|3.545879365008252E15|$271438.05|
Reston|4.508764477250377E15|$182279.80|
Cinicinnati|6.396841025068673E15|$344404.65|
Tampa|5.602212984231946E15|$180425.31|
Raleigh|2.01757504031032E14|$268136.82|
Cinicinnati|4.026143660900309E15|$291183.35|
Columbus|5.427858720087647E15|$189355.38|
Fairfax|5.108758089115532E15|$138301.74|
State College|3.7230172404902E14|$160979.67|
Raleigh|4.508381960405044E15|$91039.96|
Charlotte|3.565779226197259E15|$425136.55|
Tampa|5.6418215251314515E17|$211315.12|
Cinicinnati|6.304222844700843E18|$292260.84|
Tampa|4.041378998652E12|$329397.47|
Fairfax|3.72301217546581E14|$419863.10|
Charlotte|3.588634807118856E15|$391747.01|
State College|3.577788778499217E15|$362262.45|
Durham|3.5676523102065E15|$134355.65|
Fairfax|3.576363889362463E15|$370978.13|
Cleveland|5.0204689410051809E18|$193522.12|
Stow|3.556258114476183E15|$328289.14|
Cleveland|6.3311039303211494E17|$305867.92|
Tampa|3.576083931409134E15|$258577.32|
Stow|3.571575307113377E15|$205053.04|
Raleigh|5.602240667438504E15|$201813.84|
Charlotte|3.571394779553437E15|$368402.31|
Fairfax|3.74283704227198E14|$446594.58|
Charlotte|4.844011660182303E15|$417812.44|
Durham|3.564684616859875E15|$140368.34|
Columbus|4.277687364828E12|$81686.30|
Charlotte|4.041596320996721E15|$222738.24|
Raleigh|5.602244633238428E15|$152446.98|
Fairfax|3.574749637095078E15|$305119.42|
Stow|5.40148098907512E15|$298664.35|
Reston|3.588661852765679E15|$403386.70|
Cleveland|3.581060743977105E15|$353799.53|
Cleveland|3.0151471726971E13|$435154.89|
Stow|4.041594642110097E15|$287434.80|
Stow|5.6108092761546064E16|$147030.64|
Fairfax|5.602211481351769E15|$157143.77|
Cinicinnati|3.558515150921416E15|$147922.09|
Raleigh|3.532859730981958E15|$84874.06|
State College|3.018907973657E13|$445031.91|
Columbus|4.9035588033151683E18|$139956.22|
Reston|5.602236571482539E15|$112363.08|
Stow|3.0172126669671E13|$192876.89|
Cinicinnati|3.0262245322409E13|$224511.17|
Stow|6.7098630140194536E16|$378325.66|
Tampa|3.55749985280918E15|$146683.46|
Cleveland|4.911039578620278E15|$148408.91|
Fairfax|3.542445987876659E15|$93175.44|
Fairfax|3.49768816662573E14|$83736.03|
Charlotte|3.562332716694899E15|$251481.55|
Durham|3.37941822703517E14|$214339.36|
Tampa|3.54317543351817E15|$436075.35|
State College|5.242834398548676E15|$258789.17|
Cinicinnati|6.3343054080146196E18|$273500.64|
Stow|3.582162544638552E15|$334447.16|
Reston|6.7679812909177306E17|$318601.28|
Tampa|5.354770036177482E15|$217291.90|
Cleveland|5.048378390792946E15|$367233.95|
Charlotte|3.537910382374193E15|$242701.71|
Charlotte|5.602214049077637E15|$219663.38|
Fairfax|5.599431199346241E15|$255039.49|
Charlotte|3.576317296342286E15|$392599.89|
Fairfax|3.569554678826127E15|$296734.89|
Columbus|5.268328613793166E15|$162434.01|
Stow|3.72301443063815E14|$90057.04|
Cinicinnati|4.041377075684E12|$212372.49|
Fairfax|4.17500568689663E15|$415872.74|
Columbus|3.558575341976901E15|$156559.30|
Durham|3.74288035671782E14|$390750.36|
State College|3.6983185670713E13|$256145.21|
Cleveland|3.587148991142557E15|$295409.57|
Durham|3.575626363787517E15|$297143.78|
Stow|3.555898598598936E15|$326775.14|
State College|5.602241540720076E15|$219468.38|
Cinicinnati|2.01613918737484E14|$235676.64|
Stow|6.75953025953967E15|$179266.72|
Tampa|3.0384995812403E13|$161824.53|
Cleveland|3.0068239276752E13|$270469.86|
Durham|3.580024433996594E15|$300654.64|
Cleveland|3.77954984710742E14|$148791.96|
Tampa|3.5692775079265E15|$374623.27|
Tampa|2.01818874718739E14|$188803.21|
State College|5.108750498711803E15|$381485.16|
Tampa|3.37941867316688E14|$409845.62|
Columbus|3.6223470306081E13|$285967.40|
Durham|3.54334557291842E15|$428295.78|
Cleveland|3.37941556926698E14|$435201.98|
Tampa|3.588265973149027E15|$300313.97|
Raleigh|4.913336720059209E15|$370286.63|
Reston|3.571993877735521E15|$276375.81|
Charlotte|4.913347710527832E15|$227955.25|
Reston|6.384481300382657E15|$128569.94|
Cinicinnati|3.579522424863239E15|$123232.75|
State College|3.56095873743691E15|$240193.28|
Columbus|3.547088335362819E15|$101413.53|
Fairfax|3.585171601310846E15|$168562.15|
Tampa|5.100175831053036E15|$369953.52|
Durham|3.561639666318662E15|$368524.19|
Stow|5.6109943827371776E18|$80269.07|
Charlotte|3.567945596922232E15|$260669.26|
Durham|5.610036025643284E15|$160283.84|
Fairfax|3.37941905075015E14|$447624.51|
Cinicinnati|3.0385388094475E13|$168725.66|
Cinicinnati|5.535883041128465E15|$231661.27|
Reston|4.691816568861E12|$280991.30|
Fairfax|3.7062664263063E14|$369240.27|
Reston|5.0076625950331E15|$92312.30|
Durham|3.578185902733059E15|$434521.33|
Stow|4.017950656591715E15|$296082.16|
Durham|3.545782035098424E15|$162923.61|
Fairfax|3.529571929120943E15|$205041.52|
State College|6.383481343543357E15|$411429.23|
Durham|5.261568897395157E15|$104358.67|
Tampa|3.53487882615474E15|$104980.04|
Durham|3.569030133890198E15|$306847.49|
Tampa|5.893275268128683E18|$334832.23|
Fairfax|5.6022390531297096E18|$124110.54|
Stow|3.538980476996382E15|$258791.14|
Fairfax|5.602229852571682E15|$357287.62|
State College|4.041373411537E12|$296468.83|
State College|5.6022299887818106E17|$184235.63|
Charlotte|3.578088650339543E15|$361911.79|
Fairfax|6.304528215924671E15|$360064.32|
Columbus|6.709348794473391E15|$342771.34|
Fairfax|3.0091569779641E13|$117501.62|
Fairfax|2.01773348317024E14|$207580.42|
Cinicinnati|4.026269473286154E15|$168379.85|
Cinicinnati|3.552035136575885E15|$363018.77|
Raleigh|3.584430235610059E15|$449736.67|
Tampa|5.100175887288874E15|$446563.77|
Reston|5.6418254882960712E18|$280473.88|
Reston|6.761250317867372E16|$284658.86|
State College|6.759092023838052E15|$306395.99|
State College|3.583622741932115E15|$381054.49|
Cinicinnati|3.580316360131512E15|$124190.77|
Durham|3.561065095135891E15|$150328.83|
State College|4.913762610525266E15|$177646.70|
Cleveland|3.57841723751578E15|$143883.97|
Reston|2.01530256495261E14|$165280.68|
Columbus|3.580183428092577E15|$440216.14|
Cleveland|3.47806772573665E14|$128497.89|
Charlotte|3.568613717973414E15|$120972.63|
State College|3.53577993188003E15|$186753.84|
Stow|3.545549050565904E15|$363642.54|
Durham|4.844298968713166E15|$250028.21|
Cleveland|3.584759282282325E15|$372284.51|
Stow|3.555950687761907E15|$314289.26|
Tampa|3.573787724312171E15|$410773.54|
Columbus|3.56367875127324E15|$284789.06|
Raleigh|3.576053384379472E15|$200003.19|
Fairfax|3.530020698786911E15|$290373.17|
Reston|3.546952320409086E15|$350654.33|
Raleigh|3.528866611286429E15|$128622.85|
State College|3.543634395266756E15|$320782.19|
Charlotte|6.390624352259768E15|$230411.12|
Cinicinnati|6.7677741691415767E18|$114126.16|
Reston|2.01896091244044E14|$385959.80|
Raleigh|3.548324918389682E15|$280843.06|
Charlotte|5.6022541288530616E18|$432239.77|
Stow|3.547844585079838E15|$377868.89|
Stow|6.385596309086642E15|$175656.03|
Tampa|3.0113997611764E13|$380289.03|
Columbus|5.602248753301304E15|$435783.98|
Columbus|5.602243809571158E15|$158889.10|
Columbus|3.46327975894379E14|$320439.84|
Cleveland|3.581175070046579E15|$404484.54|
Raleigh|3.70040793388545E14|$282665.55|
Cleveland|3.530479031706897E15|$366156.32|
Reston|5.197803293419544E15|$286979.59|
Raleigh|3.561675219935578E15|$173949.89|
Fairfax|3.537557450480251E15|$310362.29|
Cleveland|6.7614259354234022E17|$100131.69|
Cinicinnati|3.535065066421216E15|$89303.12|
Reston|6.3339892514650235E18|$366755.26|
Fairfax|5.158976968314039E15|$415078.96|
Fairfax|5.602250027155284E15|$135348.34|
Charlotte|3.568270663280524E15|$263356.09|
Stow|2.01985936665743E14|$80138.79|
Stow|4.955144115574E12|$214585.39|
Fairfax|3.588275766612651E15|$254101.74|
Stow|3.567271878476213E15|$357945.30|
Durham|3.587474947137313E15|$323781.06|
Stow|6.7096256238751744E17|$397667.14|
Tampa|5.00766920316741E15|$251744.94|
State College|3.574087792012939E15|$338668.09|
Cinicinnati|6.7635254614222413E17|$279245.13|
Raleigh|3.563285663595874E15|$392513.70|
Fairfax|6.3040760931492176E16|$365686.70|
Stow|3.57540690474946E15|$359302.35|
Stow|5.007661722911592E15|$265620.79|
Fairfax|3.535284567624398E15|$293778.68|
Reston|5.6022541140314384E16|$319904.72|
Cinicinnati|4.041590536014098E15|$208163.54|
Reston|3.543471271237712E15|$415001.48|
Durham|6.3348009325227715E18|$302989.18|
Cinicinnati|3.0190856412864E13|$399728.47|
State College|3.74288311893951E14|$333161.06|
Raleigh|5.602216041701254E15|$237075.61|
State College|6.771635220923483E15|$197402.48|
Columbus|6.7094260930536384E17|$163505.39|
Durham|6.7599938459033011E17|$390285.73|
Tampa|6.7629049989078528E17|$237623.72|
Cinicinnati|5.602211079261149E15|$442482.00|
Raleigh|6.7595643930619251E17|$100743.73|
Charlotte|4.903968047944291E15|$273253.97|
Raleigh|5.602236324270447E15|$162161.86|
Reston|4.405837373726189E15|$436123.66|
Cinicinnati|3.580932369761214E15|$167858.86|
Stow|2.01923568601751E14|$87743.31|
Tampa|3.586706894853496E15|$413032.46|
